Version,Family,Scientific name,Previously,As of the stated version,Date
1.4,Araceae,Spirodela punctata,Accepted,Synonym of Landoltia punctata,5/1/2014
1.4,Asteraceae,Artemisia lindleyana,Accepted,Synonym of Artemisia ludoviciana ssp. lindleyana,5/1/2014
1.4,Asteraceae,Artemisia ludoviciana ssp. lindleyana,Accepted,Accepted,5/1/2014
1.4,Asteraceae,Centaurea benedicta,Synonym of Cnicus benedictus,Accepted,5/1/2014
1.4,Asteraceae,Cnicus benedictus,Accepted,Synonym of Centaurea benedicta,5/1/2014
1.4,Asteraceae,Cotula mexicana,Under evaluation,Accepted,5/1/2014
1.4,Asteraceae,Filago pyramidata var. pyramidata,Under evaluation,Accepted,5/1/2014
1.4,Asteraceae,Layia platyglossa,Under evaluation,Accepted,5/1/2014
1.4,Asteraceae,Matricaria chamomilla,Synonym of Matricaria recutita,Accepted,5/1/2014
1.4,Asteraceae,Matricaria recutita,Accepted,Synonym of Matricaria chamomilla,5/1/2014
1.4,Asteraceae,Nabalus hastatus,Under evaluation,Accepted,5/1/2014
1.4,Asteraceae,Prenanthes alata,Accepted,Synonym of Nabalus hastatus,5/1/2014
1.4,Asteraceae,Senecio viscosus,Under evaluation,Accepted,5/1/2014
1.4,Balsaminaceae,Impatiens bicolor,Under evaluation,Accepted,5/1/2014
1.4,Balsaminaceae,Impatiens parviflora,Under evaluation,Accepted,5/1/2014
1.4,Boraginaceae,Anchusa capensis,Excluded,Accepted,5/1/2014
1.4,Brassicaceae,Rorippa austriaca,Excluded,Accepted,5/1/2014
1.4,Brassicaceae,Sisymbrium irio,Under evaluation,Accepted,5/1/2014
1.4,Caryophyllaceae,Arenaria montana,Under evaluation,Accepted,5/1/2014
1.4,Caryophyllaceae,Atocion armeria,Under evaluation,Accepted,5/1/2014
1.4,Caryophyllaceae,Silene armeria,Accepted,Synonym of Atocion armeria,5/1/2014
1.4,Crassulaceae,Phedimus spurius,Under evaluation,Accepted,5/1/2014
1.4,Crassulaceae,Sedum lanceolatum,Accepted (not terminal),Accepted (terminal),5/1/2014
1.4,Crassulaceae,Sedum lanceolatum var. lanceolatum,Synonym of Sedum lanceolatum,Accepted,5/1/2014
1.4,Crassulaceae,Sedum lanceolatum var. nesioticum,Synonym of Sedum lanceolatum,Accepted,5/1/2014
1.4,Crassulaceae,Sedum rupestre,Under evaluation,Accepted,5/1/2014
1.4,Crassulaceae,Sedum thartii,Under evaluation,Accepted,5/1/2014
1.4,Cyperaceae,Bolboschoenus maritimus,Accepted (not terminal),Accepted (terminal),5/1/2014
1.4,Cyperaceae,Bolboschoenus maritimus ssp. paludosus,Synonym of Bolboschoenus maritimus,Accepted,5/1/2014
1.4,Cyperaceae,Carex comans,Under evaluation,Accepted,5/1/2014
1.4,Cyperaceae,Carex kelloggii,Synonym of Carex lenticularis var. lipocarpa,Accepted,5/1/2014
1.4,Cyperaceae,Carex kelloggii var. impressa,Under evaluation,Accepted,5/1/2014
1.4,Cyperaceae,Carex kelloggii var. kelloggii,Under evaluation,Accepted,5/1/2014
1.4,Cyperaceae,Carex kelloggii var. limnophila,Under evaluation,Accepted,5/1/2014
1.4,Cyperaceae,Carex lenticularis,Accepted,Synonym of Carex kelloggii,5/1/2014
1.4,Cyperaceae,Carex lenticularis var. impressa,Accepted,Synonym of Carex kelloggii var. impressa,5/1/2014
1.4,Cyperaceae,Carex lenticularis var. limnophila,Accepted,Synonym of Carex kelloggii var. limnophila,5/1/2014
1.4,Cyperaceae,Carex lenticularis var. lipocarpa,Accepted,Synonym of Carex kelloggii var. kelloggii,5/1/2014
1.4,Cyperaceae,Carex minicaulis,Under evaluation,Accepted,5/1/2014
1.4,Cyperaceae,Cyperus ×mesochorus,Accepted,Synonym of Cyperus schweinitzii,5/1/2014
1.4,Cyperaceae,Cyperus lupulinus,Accepted,Synonym of Cyperus schweinitzii,5/1/2014
1.4,Cyperaceae,Cyperus lupulinus ssp. lupulinus,Accepted,Synonym of Cyperus schweinitzii,5/1/2014
1.4,Cyperaceae,Cyperus niger,Excluded,Accepted,5/1/2014
1.4,Cyperaceae,Cyperus schweinitzii,Misapplied to Cyperus lupulinus ssp. lupulinus,Accepted,5/1/2014
1.4,Cyperaceae,Dulichium arundinaceum,Accepted (not terminal),Accepted (terminal),5/1/2014
1.4,Cyperaceae,Dulichium arundinaceum var. arundinaceum,Synonym of Dulichium arundinaceum,Accepted,5/1/2014
1.4,Cyperaceae,Eleocharis coloradoensis,Accepted,Excluded,5/1/2014
1.4,Cyperaceae,Eleocharis decumbens,Excluded,Accepted,5/1/2014
1.4,Cyperaceae,Kobresia bellardii,Accepted,Synonym of Kobresia myosuroides,5/1/2014
1.4,Cyperaceae,Kobresia myosuroides,Synonym of Kobresia bellardii,Accepted,5/1/2014
1.4,Cyperaceae,Schoenoplectus acutus var. occidentalis × Schoenoplectus tabernaemontani,Accepted,Excluded,5/1/2014
1.4,Cyperaceae,Scirpus atrocinctus,Synonym of Scirpus cyperinus,Accepted,5/1/2014
1.4,Cyperaceae,Scirpus georgianus,Under evaluation,Accepted,5/1/2014
1.4,Equisetaceae,Equisetum variegatum,Accepted (terminal),Accepted (not terminal),5/1/2014
1.4,Equisetaceae,Equisetum variegatum,Accepted,Synonym of Equisetum variegatum,5/1/2014
1.4,Fagaceae,Quercus chrysolepis × Quercus vaccinifolia,Accepted,Synonym of Quercus chrysolepis × Quercus vacciniifolia,5/1/2014
1.4,Fagaceae,Quercus chrysolepis × Quercus vacciniifolia,Under evaluation,Accepted,5/1/2014
1.4,Gentianaceae,Erythraea minima,Under evaluation,Accepted,5/1/2014
1.4,Hypericaceae,Hypericum androsaemum,Under evaluation,Accepted,5/1/2014
1.4,Juncaceae,Juncus gerardi,Under evaluation,Accepted,5/1/2014
1.4,Juncaceae,Juncus gerardi ssp. gerardi,Under evaluation,Accepted,5/1/2014
1.4,Juncaceae,Juncus gerardii,Accepted,Synonym of Juncus gerardi,5/1/2014
1.4,Juncaceae,Juncus gerardii ssp. gerardii,Accepted,Synonym of Juncus gerardi ssp. gerardi,5/1/2014
1.4,Lamiaceae,Trichostema lanatum,Under evaluation,Accepted,5/1/2014
1.4,Liliaceae,Prosartes parvifolia,Synonym of Prosartes hookeri,Accepted,5/1/2014
1.4,Liliaceae,Tulipa sylvestris,Under evaluation,Accepted,5/1/2014
1.4,Limnanthaceae,Limnanthes alba,Under evaluation,Accepted,5/1/2014
1.4,Malvaceae,Fremontodendron californicum,Under evaluation,Accepted,5/1/2014
1.4,Menyanthaceae,Nymphoides peltata,Under evaluation,Accepted,5/1/2014
1.4,Onagraceae,Clarkia amoena ssp. whitneyi,Under evaluation,Accepted,5/1/2014
1.4,Oxalidaceae,Oxalis rubra,Accepted,Synonym of Oxalis articulata,5/1/2014
1.4,Phrymaceae,Diplacus aurantiacus,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Diplacus bolanderi,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Diplacus cascadensis,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Diplacus clivicola,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Diplacus congdonii,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Diplacus cusickii,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Diplacus cusickioides,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Diplacus deschutesensis,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Diplacus douglasii,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Diplacus jepsonii,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Diplacus kelloggii,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Diplacus nanus,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Diplacus pygmaeus,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Diplacus tricolor,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe alsinoides,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe arvensis,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe breviflora,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe breweri,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe caespitosa,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe cardinalis,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe decora,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe dentata,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe floribunda,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe grandis,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe guttata,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe hymenophylla,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe inflatula,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe inodora,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe jungermannioides,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe latidens,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe lewisii,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe microphylla,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe moniliformis,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe moschata,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe nasuta,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe patula,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe primuloides,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe pulsiferae,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe scouleri,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe suksdorfii,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe tilingii,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Erythranthe washingtoniensis,Under evaluation,Accepted,5/1/2014
1.4,Phrymaceae,Mimulus alsinoides,Accepted,Synonym of Erythranthe alsinoides,5/1/2014
1.4,Phrymaceae,Mimulus aurantiacus,Accepted,Synonym of Diplacus aurantiacus,5/1/2014
1.4,Phrymaceae,Mimulus bolanderi,Accepted,Synonym of Diplacus bolanderi,5/1/2014
1.4,Phrymaceae,Mimulus breviflorus,Accepted,Synonym of Erythranthe breviflora,5/1/2014
1.4,Phrymaceae,Mimulus breweri,Accepted,Synonym of Erythranthe breweri,5/1/2014
1.4,Phrymaceae,Mimulus cardinalis,Accepted,Synonym of Erythranthe cardinalis,5/1/2014
1.4,Phrymaceae,Mimulus clivicola,Accepted,Synonym of Diplacus clivicola,5/1/2014
1.4,Phrymaceae,Mimulus congdonii,Accepted,Synonym of Diplacus congdonii,5/1/2014
1.4,Phrymaceae,Mimulus cusickii,Accepted,"Synonym of Diplacus cusickii, D. cusickioides, D. deschutesensis",5/1/2014
1.4,Phrymaceae,Mimulus cusickii × Mimulus nanus var. nanus,Accepted,Excluded,5/1/2014
1.4,Phrymaceae,Mimulus dentatus,Accepted,Synonym of Erythranthe dentata,5/1/2014
1.4,Phrymaceae,Mimulus douglasii,Accepted,Synonym of Diplacus douglasii,5/1/2014
1.4,Phrymaceae,Mimulus evanescens,Accepted,Synonym of Erythranthe inflatula,5/1/2014
1.4,Phrymaceae,Mimulus floribundus,Accepted,Synonym of Erythranthe floribunda,5/1/2014
1.4,Phrymaceae,Mimulus guttatus,Accepted,"Synonym of Erythranthe arvensis, E. decora, E. grandis, E. guttata, E. microphylla, E. nasuta, E. scouleri",5/1/2014
1.4,Phrymaceae,Mimulus hymenophyllus,Accepted,Synonym of Erythranthe hymenophylla,5/1/2014
1.4,Phrymaceae,Mimulus jungermannioides,Accepted,Synonym of Erythranthe jungermannioides,5/1/2014
1.4,Phrymaceae,Mimulus kelloggii,Accepted,Synonym of Diplacus kelloggii,5/1/2014
1.4,Phrymaceae,Mimulus latidens,Accepted,Synonym of Erythranthe latidens,5/1/2014
1.4,Phrymaceae,Mimulus lewisii,Accepted,Synonym of Erythranthe lewisii,5/1/2014
1.4,Phrymaceae,Mimulus moschatus,Accepted,"Synonym of Erythranthe moschata, E. inodora, E. moniliformis",5/1/2014
1.4,Phrymaceae,Mimulus nanus,Accepted,"Synonym of Diplacus nanus, D. cascadensis",5/1/2014
1.4,Phrymaceae,Mimulus nanus var. jepsonii,Accepted,Synonym of Diplacus jepsonii,5/1/2014
1.4,Phrymaceae,Mimulus nanus var. nanus,Accepted,Synonym of Diplacus nanus,5/1/2014
1.4,Phrymaceae,Mimulus patulus,Accepted,Synonym of Erythranthe patula,5/1/2014
1.4,Phrymaceae,Mimulus primuloides,Accepted,Synonym of Erythranthe primuloides,5/1/2014
1.4,Phrymaceae,Mimulus pulsiferae,Accepted,Synonym of Erythranthe pulsiferae,5/1/2014
1.4,Phrymaceae,Mimulus pygmaeus,Accepted,Synonym of Diplacus pygmaeus,5/1/2014
1.4,Phrymaceae,Mimulus suksdorfii,Accepted,Synonym of Erythranthe suksdorfii,5/1/2014
1.4,Phrymaceae,Mimulus tilingii,Accepted,"Synonym of Erythranthe tilingii, E. caespitosa",5/1/2014
1.4,Phrymaceae,Mimulus tricolor,Accepted,Synonym of Diplacus tricolor,5/1/2014
1.4,Phrymaceae,Mimulus washingtonensis,Accepted,Synonym of Erythranthe washingtoniensis,5/1/2014
1.4,Plantaginaceae,Chaenorhinum minus,Excluded,Accepted,5/1/2014
1.4,Plantaginaceae,Plantago arenaria,Under evaluation,Accepted,5/1/2014
1.4,Plantaginaceae,Plantago psyllium,Accepted,Synonym of Plantago arenaria,5/1/2014
1.4,Poaceae,Agrostis elliottiana,Under evaluation,Accepted,5/1/2014
1.4,Poaceae,Briza media,Under evaluation,Accepted,5/1/2014
1.4,Poaceae,Polypogon australis,Under evaluation,Accepted,5/1/2014
1.4,Polemoniaceae,Navarretia mellita,Under evaluation,Accepted,5/1/2014
1.4,Rosaceae,Crataegus gaylussacia × Crataegus monogyna,Under evaluation,Accepted,5/1/2014
1.4,Rosaceae,Crataegus monogyna × Crataegus suksdorfii,Accepted,Synonym of Crataegus gaylussacia × Crataegus monogyna,5/1/2014
1.4,Rosaceae,Heteromeles arbutifolia,Synonym of Heteromeles salicifolia,Accepted,5/1/2014
1.4,Rosaceae,Heteromeles salicifolia,Accepted,Synonym of Heteromeles arbutifolia,5/1/2014
1.4,Rosaceae,Prunus ×pugetensis,Under evaluation,Accepted,5/1/2014
1.4,Rosaceae,Pyrus calleryana,Under evaluation,Accepted,5/1/2014
1.4,Salicaceae,Populus fremontii ssp. fremontii,Excluded,Accepted,5/1/2014
1.4,Vitaceae,Vitis ×labruscana,Under evaluation,Accepted,5/1/2014
1.3,Adoxaceae,Sambucus mexicana,Accepted,Synonym of Sambucus nigra ssp. caerulea,8/14/2013
1.3,Adoxaceae,Sambucus mexicana × Sambucus racemosa var. arborescens,Accepted,Excluded,8/14/2013
1.3,Adoxaceae,Sambucus nigra ssp. caerulea,Under evaluation,Accepted,8/14/2013
1.3,Aizoaceae,Delosperma cooperi,Under evaluation,Accepted,8/14/2013
1.3,Amaranthaceae,Atriplex hymenelytra,Under evaluation,Accepted,8/14/2013
1.3,Amaranthaceae,Dysphania carinata,Accepted,Excluded,8/14/2013
1.3,Amaryllidaceae,Allium brandegei,Accepted,Synonym of Allium brandegeei,8/14/2013
1.3,Amaryllidaceae,Allium membranaceum,Under evaluation,Accepted,8/14/2013
1.3,Amaryllidaceae,Leucojum aestivum,Excluded,Accepted,8/14/2013
1.3,Anacardiaceae,Rhus aromatica,Under evaluation,Accepted,8/14/2013
1.3,Anacardiaceae,Rhus trilobata,Accepted,Synonym of Rhus aromatica,8/14/2013
1.3,Apiaceae,Lomatium brunsfeldianum,Under evaluation,Accepted,8/14/2013
1.3,Araliaceae,Hedera helix ssp. helix,Under evaluation,Accepted,8/14/2013
1.3,Aristolochiaceae,Aristolochia macrophylla,Under evaluation,Accepted,8/14/2013
1.3,Asparagaceae,Brodiaea nana,Under evaluation,Accepted,8/14/2013
1.3,Asparagaceae,Chlorogalum grandiflorum,Under evaluation,Accepted,8/14/2013
1.3,Asparagaceae,Chlorogalum pomeridianum,Accepted (not terminal),Accepted (terminal),8/14/2013
1.3,Asparagaceae,Chlorogalum pomeridianum var. pomeridianum,Accepted,Synonym of Chlorogalum pomeridianum,8/14/2013
1.3,Asparagaceae,Hyacinthoides ×variabilis,Excluded,Accepted,8/14/2013
1.3,Asteraceae,Achillea filipendulina,Under evaluation,Accepted,8/14/2013
1.3,Asteraceae,Askellia pygmaea ssp. pygmaea,Accepted,Excluded,8/14/2013
1.3,Asteraceae,Baccharis pilularis,Accepted (terminal),Accepted (not terminal),8/14/2013
1.3,Asteraceae,Baccharis pilularis ssp. consanguinea,Synonym of Baccharis pilularis,Accepted,8/14/2013
1.3,Asteraceae,Centromadia pungens ssp. septentrionalis,Accepted,Synonym of Centromadia pungens ssp. pungens,8/14/2013
1.3,Asteraceae,Coreopsis rosea,Under evaluation,Accepted,8/14/2013
1.3,Asteraceae,Doronicum pardalianches,Under evaluation,Accepted,8/14/2013
1.3,Asteraceae,Erigeron breweri,Accepted,Synonym of Erigeron klamathensis,8/14/2013
1.3,Asteraceae,Erigeron breweri var. klamathensis,Accepted,Synonym of Erigeron klamathensis,8/14/2013
1.3,Asteraceae,Erigeron klamathensis,Synonym of Erigeron breweri var. klamathensis,Accepted,8/14/2013
1.3,Asteraceae,Eriophyllum lanatum var. achilleoides,Under evaluation,Accepted,8/14/2013
1.3,Asteraceae,Eriophyllum lanatum var. achillioides,Accepted,Synonym of Eriophyllum lanatum var. achilleoides,8/14/2013
1.3,Asteraceae,Euthamia graminifolia,Excluded,Accepted,8/14/2013
1.3,Asteraceae,Filago arvensis,Accepted,Synonym of Logfia arvensis,8/14/2013
1.3,Asteraceae,Filago gallica,Accepted,Synonym of Logfia gallica,8/14/2013
1.3,Asteraceae,Filago minima,Accepted,Synonym of Logfia minima,8/14/2013
1.3,Asteraceae,Hieracium lachenalii,Synonym of Hieracium vulgatum,Accepted,8/14/2013
1.3,Asteraceae,Hieracium vulgatum,Accepted,Synonym of Hieracium lachenalii,8/14/2013
1.3,Asteraceae,Layia chrysanthemoides,Under evaluation,Accepted,8/14/2013
1.3,Asteraceae,Layia fremontii,Under evaluation,Accepted,8/14/2013
1.3,Asteraceae,Logfia arvensis,Synonym of Filago arvensis,Accepted,8/14/2013
1.3,Asteraceae,Logfia gallica,Synonym of Filago gallica,Accepted,8/14/2013
1.3,Asteraceae,Logfia minima,Synonym of Filago minima,Accepted,8/14/2013
1.3,Asteraceae,Mulgedium oblongifolium,Under evaluation,Accepted,8/14/2013
1.3,Asteraceae,Mulgedium pulchellum,Accepted,Synonym of Mulgedium oblongifolium,8/14/2013
1.3,Asteraceae,Oreostemma alpigenum × Symphyotrichum foliaceum var. parryi,Accepted,Excluded,8/14/2013
1.3,Asteraceae,Petasites japonicus,Under evaluation,Accepted,8/14/2013
1.3,Asteraceae,Senecio cineraria,Under evaluation,Accepted,8/14/2013
1.3,Balsaminaceae,Impatiens ecalcarata,Accepted,Synonym of Impatiens ecornuta,8/14/2013
1.3,Balsaminaceae,Impatiens ecornuta,Under evaluation,Accepted,8/14/2013
1.3,Berberidaceae,Achlys californica,Synonym of Achlys californica,Accepted,8/14/2013
1.3,Berberidaceae,Achlys triphylla,Accepted,Synonym/Accepted,8/14/2013
1.3,Berberidaceae,Achlys triphylla ssp. triphylla,Synonym of Achlys triphylla ssp. triphylla,Accepted,8/14/2013
1.3,Betulaceae,Alnus glutinosa,Under evaluation,Accepted,8/14/2013
1.3,Betulaceae,Corylus avellana × Corylus maxima,Under evaluation,Accepted,8/14/2013
1.3,Betulaceae,Corylus cornuta ssp. californica,Under evaluation,Accepted,8/14/2013
1.3,Betulaceae,Corylus cornuta var. californica,Accepted,Synonym of Corylus cornuta ssp. californica,8/14/2013
1.3,Boraginaceae,Cryptantha interrupta,Accepted,Synonym of Cryptantha spiculifera,8/14/2013
1.3,Boraginaceae,Cryptantha leucophaea,Accepted,Excluded,8/14/2013
1.3,Boraginaceae,Eriodictyon lobbii,Under evaluation,Accepted,8/14/2013
1.3,Boraginaceae,Nama lobbii,Accepted,Synonym of Eriodictyon lobbii,8/14/2013
1.3,Brassicaceae,Brassica elongata,Under evaluation,Accepted,8/14/2013
1.3,Brassicaceae,Cardamine hirsuta × Cardamine oligosperma,Under evaluation,Accepted,8/14/2013
1.3,Brassicaceae,Descurainia longepedicellata,Accepted,Synonym of Descurainia longipedicellata,8/14/2013
1.3,Brassicaceae,Descurainia longipedicellata,Under evaluation,Accepted,8/14/2013
1.3,Brassicaceae,Microthlaspi perfoliatum,Accepted,Excluded,8/14/2013
1.3,Caprifoliaceae,Lonicera japonica,Under evaluation,Accepted,8/14/2013
1.3,Caryophyllaceae,Gypsophila pilosa,Under evaluation,Accepted,8/14/2013
1.3,Caryophyllaceae,Gypsophila scorzonerifolia,Accepted,Excluded,8/14/2013
1.3,Caryophyllaceae,Loeflingia squarrosa,Accepted (terminal),Accepted (not terminal),8/14/2013
1.3,Caryophyllaceae,Loeflingia squarrosa ssp. artemisiarum,Accepted,Synonym of Loeflingia squarrosa,8/14/2013
1.3,Caryophyllaceae,Silene bolanderi,Under evaluation,Accepted,8/14/2013
1.3,Caryophyllaceae,Silene campanulata ssp. campanulata,Excluded,Accepted,8/14/2013
1.3,Caryophyllaceae,Silene hookeri ssp. bolanderi,Accepted,Synonym of Silene bolanderi,8/14/2013
1.3,Caryophyllaceae,Spergularia media,Accepted (terminal),Accepted (not terminal),8/14/2013
1.3,Caryophyllaceae,Spergularia media var. media,Under evaluation,Accepted,8/14/2013
1.3,Celastraceae,Parnassia californica,Accepted,Synonym of Parnassia palustris,8/14/2013
1.3,Celastraceae,Parnassia palustris,Under evaluation,Accepted,8/14/2013
1.3,Cornaceae,Cornus sessilis,Under evaluation,Accepted,8/14/2013
1.3,Crassulaceae,Rhodiola integrifolia,Synonym of Sedum rosea ssp. integrifolium,Accepted,8/14/2013
1.3,Crassulaceae,Rhodiola integrifolia ssp. integrifolia,Synonym of Sedum rosea ssp. integrifolium,Accepted,8/14/2013
1.3,Crassulaceae,Sedum rosea,Accepted,Synonym of Rhodiola integrifolia,8/14/2013
1.3,Crassulaceae,Sedum rosea ssp. integrifolium,Accepted,Synonym of Rhodiola integrifolia ssp. integrifolia,8/14/2013
1.3,Cucurbitaceae,Marah oregana,Under evaluation,Accepted,8/14/2013
1.3,Cucurbitaceae,Marah oreganus,Accepted,Synonym of Marah oregana,8/14/2013
1.3,Cupressaceae,Callitropsis bakeri,Accepted,Synonym of Hesperocyparis bakeri,8/14/2013
1.3,Cupressaceae,Callitropsis macnabiana,Accepted,Synonym of Hesperocyparis macnabiana,8/14/2013
1.3,Cupressaceae,Hesperocyparis bakeri,Synonym of Hesperocyparis bakeri,Accepted,8/14/2013
1.3,Cupressaceae,Hesperocyparis macnabiana,Synonym of Hesperocyparis macnabiana,Accepted,8/14/2013
1.3,Cupressaceae,Hesperocyparis macrocarpa,Under evaluation,Accepted,8/14/2013
1.3,Cupressaceae,Hesperocyparis sargentii,Under evaluation,Accepted,8/14/2013
1.3,Cupressaceae,Juniperus jackii,Under evaluation,Accepted,8/14/2013
1.3,Cupressaceae,Juniperus occidentalis,Accepted (terminal),Accepted (not terminal),8/14/2013
1.3,Cupressaceae,Juniperus occidentalis var. occidentalis,Accepted,Synonym of Juniperus occidentalis,8/14/2013
1.3,Cyperaceae,Calliscirpus criniger,Under evaluation,Accepted,8/14/2013
1.3,Cyperaceae,Carex buchananii,Under evaluation,Accepted,8/14/2013
1.3,Cyperaceae,Carex fissuricola,Under evaluation,Accepted,8/14/2013
1.3,Cyperaceae,Carex hirsutella,Under evaluation,Accepted,8/14/2013
1.3,Cyperaceae,Carex sychnocephala,Under evaluation,Accepted,8/14/2013
1.3,Cyperaceae,Eriophorum crinigerum,Accepted,Synonym of Calliscirpus criniger,8/14/2013
1.3,Ericaceae,Chimaphila umbellata ssp. umbellata,Synonym of Chimaphila umbellata var. occidentalis,Accepted,8/14/2013
1.3,Ericaceae,Chimaphila umbellata var. occidentalis,Accepted,Synonym of Chimaphila umbellata ssp. umbellata,8/14/2013
1.3,Ericaceae,Pyrola dentata,Accepted,Synonym of Pyrola picta,8/14/2013
1.3,Ericaceae,Rhododendron groenlandicum,Accepted,Excluded,8/14/2013
1.3,Fabaceae,Acmispon americanus,Under evaluation,Accepted,8/14/2013
1.3,Fabaceae,Acmispon americanus var. americanus,Under evaluation,Accepted,8/14/2013
1.3,Fabaceae,Acmispon brachycarpus,Under evaluation,Accepted,8/14/2013
1.3,Fabaceae,Acmispon denticulatus,Under evaluation,Accepted,8/14/2013
1.3,Fabaceae,Acmispon nevadensis,Under evaluation,Accepted,8/14/2013
1.3,Fabaceae,Acmispon nevadensis var. nevadensis,Under evaluation,Accepted,8/14/2013
1.3,Fabaceae,Acmispon parviflorus,Under evaluation,Accepted,8/14/2013
1.3,Fabaceae,Acmispon wrangelianus,Under evaluation,Accepted,8/14/2013
1.3,Fabaceae,Genista monspessulana × Genista stenopetala,Under evaluation,Accepted,8/14/2013
1.3,Fabaceae,Hosackia crassifolia,Synonym of Lotus crassifolius var. crassifolius,Accepted,8/14/2013
1.3,Fabaceae,Hosackia crassifolia var. crassifolia,Under evaluation,Accepted,8/14/2013
1.3,Fabaceae,Hosackia gracilis,Synonym of Lotus formosissimus,Accepted,8/14/2013
1.3,Fabaceae,Hosackia oblongifolia,Synonym of Lotus oblongifolius var. oblongifolius,Accepted,8/14/2013
1.3,Fabaceae,Hosackia oblongifolia var. oblongifolia,Under evaluation,Accepted,8/14/2013
1.3,Fabaceae,Hosackia pinnata,Synonym of Lotus pinnatus,Accepted,8/14/2013
1.3,Fabaceae,Hosackia rosea,Synonym of Lotus aboriginus,Accepted,8/14/2013
1.3,Fabaceae,Hosackia stipularis,Under evaluation,Accepted,8/14/2013
1.3,Fabaceae,Hosackia stipularis var. ottleyi,Under evaluation,Accepted,8/14/2013
1.3,Fabaceae,Laburnum anagyroides,Under evaluation,Accepted,8/14/2013
1.3,Fabaceae,Lotus aboriginus,Accepted,Synonym of Hosackia rosea,8/14/2013
1.3,Fabaceae,Lotus crassifolius,Accepted,Synonym of Hosackia crassifolia,8/14/2013
1.3,Fabaceae,Lotus crassifolius var. crassifolius,Accepted,Synonym of Hosackia crassifolia var. crassifolia,8/14/2013
1.3,Fabaceae,Lotus denticulatus,Accepted,Synonym of Acmispon denticulatus,8/14/2013
1.3,Fabaceae,Lotus formosissimus,Accepted,Synonym of Hosackia gracilis,8/14/2013
1.3,Fabaceae,Lotus humistratus,Accepted,Synonym of Acmispon brachycarpus,8/14/2013
1.3,Fabaceae,Lotus micranthus,Accepted,Synonym of Acmispon parviflorus,8/14/2013
1.3,Fabaceae,Lotus nevadensis,Accepted,Synonym of Acmispon nevadensis,8/14/2013
1.3,Fabaceae,Lotus nevadensis var. douglasii,Accepted,Synonym of Acmispon nevadensis var. nevadensis,8/14/2013
1.3,Fabaceae,Lotus oblongifolius,Accepted,Synonym of Hosackia oblongifolia,8/14/2013
1.3,Fabaceae,Lotus oblongifolius var. oblongifolius,Accepted,Synonym of Hosackia oblongifolia var. oblongifolia,8/14/2013
1.3,Fabaceae,Lotus pinnatus,Accepted,Synonym of Hosackia pinnata,8/14/2013
